feature,importance,cumulative_importance
FONDKAPREMONT_MODE_reg_oper_account,1,0.997
NAME_HOUSING_TYPE_Rented_apartment,1,0.9973333333333333
NAME_HOUSING_TYPE_With_parents,1,0.9976666666666667
WEEKDAY_APPR_PROCESS_START_MONDAY,1,0.998
WEEKDAY_APPR_PROCESS_START_THURSDAY,1,0.9983333333333333
WEEKDAY_APPR_PROCESS_START_SUNDAY,1,0.9986666666666667
LIVE_CITY_NOT_WORK_CITY,1,0.999
BUREAU_CREDIT_DAY_OVERDUE_SUM,1,0.9993333333333333
AMT_REQ_CREDIT_BUREAU_DAY,1,0.9996666666666667
FLAG_EMAIL,1,1.0
CNT_FAM_MEMBERS,0,1.0
CNT_CHILDREN,0,1.0
FLAG_PHONE,0,1.0
REG_CITY_NOT_WORK_CITY,0,1.0
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1.0
FLAG_DOCUMENT_8,0,1.0
FLAG_DOCUMENT_6,0,1.0
FLAG_DOCUMENT_5,0,1.0
AMT_REQ_CREDIT_BUREAU_WEEK,0,1.0
LIVE_REGION_NOT_WORK_REGION,0,1.0
REG_REGION_NOT_WORK_REGION,0,1.0
REG_REGION_NOT_LIVE_REGION,0,1.0
INST_NUM_INSTALMENT_NUMBER_MIN,0,1.0
POS_SK_DPD_DEF_MIN,0,1.0
POS_CNT_INSTALMENT_FUTURE_MIN,0,1.0
PREV_STATUS_UNUSED_OFFER_COUNT,0,1.0
PREV_STATUS_CANCELED_COUNT,0,1.0
BUREAU_CREDIT_SOLD_COUNT,0,1.0
BUREAU_CREDIT_DAY_OVERDUE_MEAN,0,1.0
PREV_DAYS_FIRST_DRAWING_MAX,0,1.0
HAS_CHILDREN,0,1.0
NAME_EDUCATION_TYPE_Lower_secondary,0,1.0
NAME_EDUCATION_TYPE_Incomplete_higher,0,1.0
FLAG_OWN_REALTY_Y,0,1.0
NAME_TYPE_SUITE_Spouse_partner,0,1.0
