         29486 function calls (28396 primitive calls) in 0.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.002    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\_tags.py:250(get_tags)
       20    0.000    0.000    0.002    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\copy.py:62(copy)
       10    0.002    0.000    0.002    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:637(get_by_alias)
       30    0.001    0.000    0.002    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:3051(__init__)
     1890    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
       20    0.000    0.000    0.002    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\psutil\_pswindows.py:689(wrapper)
       20    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\_array_api.py:857(_asarray_with_order)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\psutil\__init__.py:312(__init__)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:1488(__sklearn_tags__)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\psutil\__init__.py:315(_init)
      490    0.001    0.000    0.001    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\enum.py:695(__call__)
        5    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\validation.py:1621(check_is_fitted)
      815    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\base.py:533(__sklearn_tags__)
        5    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_extra\_lib\_utils\_helpers.py:63(in1d)
       10    0.001    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:751(_c_float_array)
       20    0.000    0.000    0.001    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\copy.py:248(_reconstruct)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\numpy\lib\_arraysetops_impl.py:145(unique)
